iter	Passed	Remaining
0	1	123
1	2	107
2	3	98
3	3	89
4	4	87
5	5	86
6	6	85
7	7	84
8	8	83
9	9	81
10	9	79
11	10	79
12	11	77
13	12	76
14	13	75
15	14	73
16	14	72
17	15	71
18	16	70
19	17	69
20	18	68
21	18	67
22	19	66
23	20	65
24	21	65
25	22	64
26	23	63
27	24	62
28	25	61
29	25	60
30	26	59
31	27	58
32	28	57
33	29	56
34	29	55
35	30	54
36	31	53
37	32	52
38	33	51
39	33	50
40	34	50
41	35	48
42	36	47
43	36	46
44	37	46
45	38	45
46	39	44
47	40	43
48	41	42
49	41	41
50	42	41
51	43	40
52	44	39
53	45	38
54	45	37
55	46	36
56	47	35
57	48	34
58	48	33
59	49	33
60	50	32
61	51	31
62	52	30
63	53	29
64	54	29
65	54	28
66	55	27
67	56	26
68	57	25
69	58	24
70	58	24
71	59	23
72	60	22
73	61	21
74	62	20
75	62	19
76	63	19
77	64	18
78	65	17
79	66	16
80	67	15
81	68	15
82	69	14
83	70	13
84	71	12
85	71	11
86	72	10
87	73	10
88	74	9
89	75	8
90	75	7
91	76	6
92	77	5
93	78	5
94	79	4
95	80	3
96	80	2
97	81	1
98	82	0
99	83	0
